method,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_plus_de_vjepa,drawer-open-v3,clean,0.4166666666666667,0.4971671160112441,0.06418399868645064,60,504.21915016925084,111.64891187666339,14.41381254401656,60,167.98333333333332,41.30682697572231,5.332688432054793,60,0.11734967493216485,0.08094959652156973,0.01045054797367498,60,0.9926610532107579,0.04556517167516441,0.005882438368833122,60,-8.400784230646847,0.9779452770571587,0.12625219238481913,60,0.0047594284156000305,0.0007239036599551121,9.345556064215819e-05,60,1.7804883477091704,0.6574427538171793,0.08487549455395593,60,0.00123336429418359,0.0006540824232659123,8.444167774519563e-05,60,0.2833333333333333,0.55
bc_only,drawer-open-v3,brightness,0.0,0.0,0.0,60,270.01438326878827,33.62372337694825,4.340804022546853,60,200.0,0.0,0.0,60,0.18997603473204652,0.00021530421251433936,2.7795654314544628e-05,60,0.7178964351421843,0.10522952421667683,0.013585073160683981,60,-6.046846276958783,1.0801064335321282,0.1394411409733807,60,,,,0,,,,0,,,,0,0.0,0.0
bc_plus_vjepa,drawer-open-v3,brightness,0.0,0.0,0.0,60,248.97153109826198,66.7223311097949,8.613815906945755,60,200.0,0.0,0.0,60,0.1899999999999994,0.0,0.0,60,0.6084966094881917,0.10291892353527089,0.013286775895389957,60,-5.4415067111750455,0.8212252908250652,0.10601972916166068,60,0.008206240056315386,0.0010641345612114916,0.00013737918112319478,60,147.52789132268666,129.06000050867695,16.66157442105422,60,0.008963482789504828,0.006907589979743732,0.0008917660317992234,60,0.0,0.0
bc_plus_de_vjepa,drawer-open-v3,brightness,0.0,0.0,0.0,60,255.72687861933568,58.15496587572694,7.507773811198368,60,200.0,0.0,0.0,60,0.1899999999999994,0.0,0.0,60,0.6338891459722072,0.1226700449341796,0.01583663470361977,60,-5.349537275115649,1.0534476582593955,0.13599950788466136,60,0.0076064935214622985,0.0012782032034210843,0.00016501532399729434,60,148.147146162161,112.47755834418209,14.520790342969676,60,0.008956200620143689,0.005467177878251798,0.0007058096291074271,60,0.0,0.0
bc_only,drawer-open-v3,background_shift,0.0,0.0,0.0,60,558.9004705185463,265.10398997924045,34.22477794009121,60,200.0,0.0,0.0,60,0.16746197898581874,0.04129305857510054,0.005330910939177725,60,0.36785263490614795,0.05146608767741038,0.006644243348968705,60,-1.895310070797801,0.4340754389590922,0.0560388982028746,60,,,,0,,,,0,,,,0,0.0,0.0
bc_plus_vjepa,drawer-open-v3,background_shift,0.0,0.0,0.0,60,556.7894446369812,169.27155159661223,21.852863344012288,60,200.0,0.0,0.0,60,0.18978325753658024,0.005178157381918331,0.0006684972434736899,60,0.4017519640314083,0.05543789917257028,0.007157002008136354,60,-2.31541087448597,0.8332804443506862,0.10757604278968412,60,0.011387424182884036,0.0008259162126386637,0.00010662532456374161,60,160.78386091321832,89.19816074516592,11.515433035945325,60,0.010355723564402623,0.0032688125170879036,0.0004220018813518599,60,0.0,0.0
bc_plus_de_vjepa,drawer-open-v3,background_shift,0.0,0.0,0.0,60,625.8850343998823,178.1283100400939,22.99626594244517,60,200.0,0.0,0.0,60,0.1903791161063606,0.0027519148925118763,0.00035527068496262235,60,0.4395281834391256,0.07655280486498779,0.00988292461158546,60,-2.2158954471598067,0.7663156550636362,0.09893092566664967,60,0.009930888852492546,0.0020474465060593785,0.00026432420734061785,60,130.4510239235386,85.52722777409483,11.041517627211922,60,0.008213611391271063,0.0025155921677186594,0.0003247615523808061,60,0.0,0.0
bc_only,ALL,clean,0.7944444444444444,0.4052342204610199,0.03020437545866589,180,387.7513504723452,366.2733677361981,27.300404953530574,180,101.16111111111111,52.66030740901695,3.925067569419924,180,0.060100876749436934,0.06900329488466815,0.005143201934452717,180,0.8826911275921095,0.24880909306330326,0.018545134850320583,180,-5.714369308324265,2.4305957873637687,0.18116591354566702,180,,,,0,,,,0,,,,0,0.7388888888888889,0.8555555555555555
bc_plus_vjepa,ALL,clean,0.5666666666666667,0.4969178748059643,0.03703807157669554,180,453.45452120001556,408.78132676423843,30.468761152579706,180,132.14444444444445,64.17104606690557,4.783027373095712,180,0.09316015403828888,0.08916809076848807,0.006646197079407026,180,0.8783344534026896,0.1272980199834918,0.009488234202807144,180,-5.6827626235069655,2.564064188589343,0.1911140608119537,180,0.005594548682414022,0.0019091515564271563,0.00014229975531735489,180,3.461629928013695,5.560573523701318,0.4144606797627228,180,0.0019361672318216588,0.0018529968379717892,0.00013811422972656947,180,0.49444444444444446,0.6388888888888888
bc_plus_de_vjepa,ALL,clean,0.5722222222222222,0.49613653233892296,0.036979833747695146,180,465.73047878349075,434.6841608284206,32.39944441182666,180,129.4388888888889,66.36433752285878,4.946505666095074,180,0.09197137214498713,0.08302896240214487,0.006188613467749005,180,0.8907762711346092,0.12267017676288733,0.009143295135124371,180,-5.5779339868561415,2.5637556498661245,0.1910910636933268,180,0.004979235613882515,0.0013892140599360383,0.00010354590244384829,180,2.3362410709434753,2.4860088744919957,0.18529616120106152,180,0.0017451627665057918,0.001542539000127939,0.00011497406874102095,180,0.5,0.6444444444444445
bc_only,ALL,brightness,0.12777777777777777,0.33477342551461325,0.02495253788370459,180,360.22090694316006,353.4857605475359,26.347272988750117,180,184.31666666666666,42.39577756460261,3.159994686447064,180,0.15190097681155565,0.07864823238677929,0.005862093130901301,180,0.7998801844105413,0.10290340774814949,0.007669967161374694,180,-4.419985990708232,1.6883172355011515,0.12583973687216987,180,,,,0,,,,0,,,,0,0.08333333333333333,0.17777777777777778
bc_plus_vjepa,ALL,brightness,0.044444444444444446,0.20665525288359443,0.015403173111837552,180,306.1413615030224,303.24153578941485,22.60228958755223,180,193.7,29.918119171308266,2.2299649408661653,180,0.18356013525276077,0.10575263500807615,0.007882336022592742,180,0.8592001230256477,0.2018352976218695,0.015043914858046728,180,-4.14950199729332,1.5050553326414509,0.11218020112282807,180,0.008019530871988126,0.0012472387759742247,9.296368957506659e-05,180,51.39936177672969,100.69454694405769,7.50532839768189,180,0.005029936216696388,0.004932636316095134,0.00036765700370242863,180,0.016666666666666666,0.07777777777777778
bc_plus_de_vjepa,ALL,brightness,0.07222222222222222,0.259577558738464,0.01934776889242167,180,314.36107447920017,303.4876303022954,22.620632389541914,180,189.76666666666668,37.60484041112751,2.8028993147437418,180,0.178161874188538,0.10007000021358062,0.007458777432866158,180,0.8685981847462618,0.19492475007624832,0.014528833055588285,180,-4.158690893371583,1.453515162669796,0.10833862366854428,180,0.00719841081727023,0.0011076125388204802,8.255656431779062e-05,180,52.068142287495256,93.87980395442143,6.997387445214663,180,0.004704524391733416,0.004403221642374987,0.00032819676374495796,180,0.03333333333333333,0.1111111111111111
bc_only,ALL,background_shift,0.28888888888888886,0.45451046645997445,0.03387720998298804,180,445.0160875264598,373.37581458866805,27.829790085820648,180,163.34444444444443,57.9590803662061,4.320014787073675,180,0.14757628068860365,0.10824157777484336,0.008067850863212673,180,0.6036418304775606,0.17743724413611317,0.013225391320952498,180,-1.916625751253221,0.9159377414294662,0.06826996843313039,180,,,,0,,,,0,,,,0,0.2222222222222222,0.35555555555555557
bc_plus_vjepa,ALL,background_shift,0.3055555555555556,0.46192725033909277,0.03443002441392581,180,467.852298601617,382.7471395550827,28.528287407958782,180,159.13333333333333,62.138734669839515,4.631547825252803,180,0.13627665071218825,0.08943662030754272,0.006666212089516788,180,0.6677888933441275,0.19863173713115195,0.014805135557137493,180,-2.0469581686465474,0.9648832135494423,0.07191814852816664,180,0.012652186000547802,0.0017471194899493288,0.00013022259814471533,180,55.91454168954792,90.30344877439983,6.730821668740936,180,0.004444349430419098,0.00461052044392279,0.0003436479041421288,180,0.2388888888888889,0.37222222222222223
bc_plus_de_vjepa,ALL,background_shift,0.3111111111111111,0.4642394981124474,0.03460236918732726,180,477.7785104089775,376.52873379294726,28.06479480809841,180,158.35,62.47908923935088,4.656916357048806,180,0.13507723700412033,0.09125897788054728,0.006802042603268446,180,0.6986714017496661,0.19324135229081213,0.014403359992874686,180,-1.9740242181783372,0.8927343888444313,0.06654049264359595,180,0.011267452546372993,0.0022833245041368228,0.00017018896019803118,180,46.01626036327728,77.44518854093994,5.772423536927648,180,0.0035974377741367506,0.003589650714404867,0.0002675567670963322,180,0.2388888888888889,0.38333333333333336
