method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
cosine_jepa,0.0,none,none,nll,clean,action_mse,30,0.0009880026227105359,0.0007992196072238177,0.00014591686909230125,0.003122155863415249,-68.35511531350059,-5.948907944029731,1.832627104935636e-06,0.0,1.862645149230957e-09
cosine_jepa,0.0,none,none,nll,clean,nll,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,clean,uncertainty,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,desaturation,latent_mse,30,0.21858125006606124,0.026349548125279246,0.004810747296094468,0.25314767015035683,-13.654646737915813,-21.47710923864248,2.35976493964696e-19,0.0,1.7180929312456739e-06
cosine_jepa,0.0,none,none,nll,desaturation,decision_kl,30,3897.275463024488,6764.901549305907,1235.0963926188306,4263.651750858989,-8.59301625093296,-1.87567266856492,0.07080025717170634,102.0,0.0061949919909238815
cosine_jepa,0.0,none,none,nll,desaturation,action_mse,30,0.3380133759786414,0.3152216068577461,0.0575513282296709,0.3626992272842118,-6.8061494066064006,-4.3905844811579655,0.00013732812131602887,62.0,0.00020912662148475647
cosine_jepa,0.0,none,none,nll,desaturation,nll,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,desaturation,uncertainty,30,,,,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,latent_mse,30,0.21300413087714118,0.02638479772911734,0.004817182963816217,0.2879303010895259,-26.02232899033714,-25.506534312021017,2.056351184727511e-21,0.0,1.7180929312456739e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,decision_kl,30,486.44188380257106,349.2440083262777,63.76294047794145,480.4122985604141,1.2550855297054166,0.29375671860080044,0.7710359909454867,210.0,0.6554384250193834
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,action_mse,30,0.1343869457762929,0.06538595234751912,0.01193778701489803,0.14694966873752538,-8.548997128854662,-3.987857651784568,0.00041347089174806806,63.0,0.00023163668811321259
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,nll,30,56.72697854218146,20.498748130358898,3.7425422505381394,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,uncertainty,30,0.04818492634968782,0.01455617255645923,0.0026575813533701205,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,latent_mse,30,0.04730815001684534,0.003992071852574377,0.0007288492682788081,0.06321109110006182,-25.15846634895522,-66.45286337630225,3.0128788572629714e-33,0.0,1.7180929312456739e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,decision_kl,30,206.20107297659894,210.0923878896026,38.35744666908684,386.5413928333798,-46.654853322401436,-2.9715842719691232,0.005902505806408625,63.0,0.00023163668811321259
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,action_mse,30,0.07088923199250638,0.028038294916217628,0.005119068866531605,0.08491828894447277,-16.52065429761527,-5.475570377669366,6.770136508576871e-06,29.0,3.2391399145126343e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,nll,30,30.201254289589293,7.271559760093073,1.3275991029499432,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,uncertainty,30,0.024278190783874713,0.005867120593581794,0.0010711847655692829,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,latent_mse,30,0.0020508103276989406,0.000813934235661123,0.0001486033803991076,0.005173186331297646,-60.356921317687906,-9.69484924039129,1.3268404283740272e-10,0.0,1.7180929312456739e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,decision_kl,30,0.36057146427204884,0.1131414791915296,0.020656713447567376,0.913281673561569,-60.51913941665875,-6.0409654227901814,1.4235563155026122e-06,0.0,1.862645149230957e-09
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,action_mse,30,0.0009321573362063903,0.0008175747429971452,0.00014926804306200842,0.003122155863415249,-70.14379239905318,-7.162470899323185,6.96634472711856e-08,0.0,1.862645149230957e-09
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,nll,30,-0.5652180938479264,0.18565794296249613,0.03389634778018888,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,uncertainty,30,0.0333634893128619,0.012451141666949694,0.0022732570525602746,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,latent_mse,30,0.19148809649390255,0.0235356593750214,0.00429700384848572,0.25314767015035683,-24.35715628740791,-28.672525392324403,7.834004140557666e-23,0.0,1.7180929312456739e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,decision_kl,30,3766.4639699570203,6560.417475449832,1197.7628793183223,4263.651750858989,-11.661078576640342,-3.2357810933244977,0.003028051833877107,34.0,6.917864084243774e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,action_mse,30,0.3308031819418631,0.2970753869593239,0.054238296905732584,0.3626992272842118,-8.794075901726389,-3.9522235791660734,0.0004554140700128026,36.0,9.220093488693237e-06
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,nll,30,72.38679125934428,28.19701564778142,5.148047174872009,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,uncertainty,30,0.030477217744440115,0.010300925812241806,0.0018806831435173542,,,,,,
