candidate,candidate_planner_score,baseline,baseline_planner_score,metric,visual_condition,mean_difference,stderr,paired_t_pvalue,bootstrap_ci_low,bootstrap_ci_high,paired_units
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,success,ALL,-0.0796296296296296,0.03987688132539628,0.05640558494706728,-0.15925925925925924,-0.011111111111111096,27
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,success,background_shift,0.02222222222222223,0.032394177193585,0.5121034947040565,-0.03888888888888889,0.07777777777777779,9
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,success,brightness,-0.07222222222222223,0.04795187917120019,0.17045293450656412,-0.17777777777777778,0.0,9
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,success,clean,-0.18888888888888886,0.09674485981815555,0.08666433109701015,-0.37222222222222223,-0.022222222222222213,9
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,return,ALL,6.9947880296013585,21.78756133094284,0.7507427315044812,-36.547317390380556,48.740728378395865,27
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,return,background_shift,35.233789109741274,18.697182832225142,0.09624534151442221,0.3801334193121427,71.56868891291467,9
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,return,brightness,-40.94953156776021,39.62882469401195,0.33167471766363443,-115.45912111825072,29.70704195208557,9
bc_plus_de_vjepa,entropy_score,bc_only,bc_only,return,clean,26.700106546823022,47.673112129666606,0.5907677193256305,-65.67007016071435,112.56794752262302,9
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,success,ALL,0.0,0.0,,0.0,0.0,27
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,success,background_shift,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,success,brightness,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,success,clean,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,return,ALL,0.0,0.0,,0.0,0.0,27
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,return,background_shift,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,return,brightness,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,random_candidate_control,bc_plus_vjepa,random_candidate_control,return,clean,0.0,0.0,,0.0,0.0,9
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,success,ALL,-0.022222222222222216,0.00898452822291822,0.0202376845282065,-0.03888888888888888,-0.005555555555555557,27
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,success,background_shift,-0.016666666666666663,0.016666666666666663,0.34659350708733416,-0.04999999999999999,0.011111111111111108,9
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,success,brightness,-0.011111111111111108,0.011111111111111108,0.34659350708733416,-0.033333333333333326,0.0,9
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,success,clean,-0.03888888888888889,0.01821510701195,0.06528477579106527,-0.07222222222222223,-0.011111111111111096,9
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,return,ALL,4.370890966688008,6.025693668311191,0.4747004206076861,-5.7809745958124426,17.772020144482777,27
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,return,background_shift,-10.433121909905335,8.517959130073065,0.25547483525461306,-28.20233484730614,2.9259715363878858,9
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,return,brightness,3.0072308470177163,2.6338676106419574,0.28657652599510636,-2.243423530870622,7.407620715566894,9
bc_plus_vjepa,random_candidate_control,bc_only,bc_only,return,clean,20.538563962951642,14.636195114488816,0.19813734203408823,2.4987931643836028,50.87143418417947,9
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,success,ALL,-0.022222222222222216,0.00898452822291822,0.0202376845282065,-0.04074074074074074,-0.005555555555555554,27
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,success,background_shift,-0.016666666666666663,0.016666666666666663,0.34659350708733416,-0.04999999999999999,0.011111111111111108,9
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,success,brightness,-0.011111111111111108,0.011111111111111108,0.34659350708733416,-0.033333333333333326,0.0,9
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,success,clean,-0.03888888888888889,0.01821510701195,0.06528477579106527,-0.07777777777777777,-0.011111111111111096,9
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,return,ALL,4.370890966688008,6.025693668311191,0.4747004206076861,-5.345287131836702,16.718641980644094,27
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,return,background_shift,-10.433121909905335,8.517959130073065,0.25547483525461306,-27.54234982053603,2.8521553657631804,9
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,return,brightness,3.0072308470177163,2.6338676106419574,0.28657652599510636,-2.0198259216899084,7.689621307860764,9
bc_plus_de_vjepa,random_candidate_control,bc_only,bc_only,return,clean,20.538563962951642,14.636195114488816,0.19813734203408823,2.61375007617258,50.282851199360564,9
