dataset,method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
metaworld-5,linear_dynamics,0.0,none,none,nll,blur,latent_mse,30,0.2461259315656,0.0248249348172913,0.0045323922626752,0.2879303010895259,-14.518919810015989,-16.79918222390163,1.7468399021680462e-16,0.0,1.718092931245674e-06
metaworld-5,linear_dynamics,0.0,none,none,nll,blur,decision_kl,30,742.824659158834,695.5676052737231,126.99268922608915,480.4122985604141,54.622323655067774,3.5084516654011155,0.0014909432023381,31.0,4.421919584274292e-06
metaworld-5,linear_dynamics,0.0,none,none,nll,blur,action_mse,30,0.1463208562930341,0.0669633934630918,0.0122257870422764,0.1469496687375253,-0.4279100796167042,-0.1658209875135017,0.8694484704679691,215.0,0.7303419969975948
metaworld-5,linear_dynamics,0.0,none,none,nll,blur,nll,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,blur,uncertainty,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,brightness,latent_mse,30,0.0505805102973114,0.0056372945058929,0.0010292244547258,0.0632110911000618,-19.981589595972054,-26.589550046589988,6.458937956185295e-22,0.0,1.718092931245674e-06
metaworld-5,linear_dynamics,0.0,none,none,nll,brightness,decision_kl,30,279.5158036846004,225.20631049400333,41.11685878335935,386.5413928333798,-27.68800214752504,-1.5671070502802362,0.1279379051278226,193.0,0.4279546067118644
metaworld-5,linear_dynamics,0.0,none,none,nll,brightness,action_mse,30,0.0681623201658231,0.0324381643576208,0.0059223714475763,0.0849182889444727,-19.73187282377559,-4.438998457186939,0.0001201642790084,61.0,0.0001886002719402
metaworld-5,linear_dynamics,0.0,none,none,nll,brightness,nll,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,brightness,uncertainty,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,clean,latent_mse,30,0.0037484349000055,0.0012661902391721,0.0002311736520291,0.0051731863312976,-27.54108087451625,-6.708130175645246,2.3301096331969707e-07,0.0,1.718092931245674e-06
metaworld-5,linear_dynamics,0.0,none,none,nll,clean,decision_kl,30,0.6253111743886445,0.1656744226611125,0.0302478728310454,0.913281673561569,-31.53140017032335,-3.618505371047242,0.0011147926964148,73.0,0.0006084088236093
metaworld-5,linear_dynamics,0.0,none,none,nll,clean,action_mse,30,0.0015232348324413,0.0011837438453676,0.0002161210688052,0.0031221558634152,-51.21208232137786,-6.231735193804545,8.451196177928402e-07,0.0,1.862645149230957e-09
metaworld-5,linear_dynamics,0.0,none,none,nll,clean,nll,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,clean,uncertainty,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,desaturation,latent_mse,30,0.1920441762700781,0.0214377845306349,0.003913986056788,0.2531476701503568,-24.137490123447048,-25.783595967756145,1.5226154492751539e-21,0.0,1.718092931245674e-06
metaworld-5,linear_dynamics,0.0,none,none,nll,desaturation,decision_kl,30,3116.008330785623,5565.891710143684,1016.1881474255672,4263.651750858989,-26.91691271085056,-2.9441082360901523,0.0063190239573646,0.0,1.862645149230957e-09
metaworld-5,linear_dynamics,0.0,none,none,nll,desaturation,action_mse,30,0.2936158076354082,0.2404139295630861,0.0438933774533868,0.3626992272842118,-19.047026972205167,-3.853020897617146,0.0005953978406825,9.0,6.146728992462158e-08
metaworld-5,linear_dynamics,0.0,none,none,nll,desaturation,nll,30,,,,,,,,,
metaworld-5,linear_dynamics,0.0,none,none,nll,desaturation,uncertainty,30,,,,,,,,,
